Year,BirdID,BirdID_Year,Annual_Number_Broods,Annual_Number_Eggs,Annual_Hatchlings,Annual_Fledgelings_Genetic,AnnFledgeRaised,Age,Survival_CurrentYear,Genetic_Recruits,eti,sti,fti,pti,Sex
2002,11,11Y2002,2,10,10,6,7,1,1,1,2,0.004703247,-0.00593505,-0.001231803,1
2003,11,11Y2003,2,8,6,4,4,2,1,1,2,0.001459702,-0.002919404,-0.001459702,1
2004,11,11Y2004,3,9,8,6,5,3,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,11,11Y2005,3,14,7,3,2,4,0,1,1,-0.002126963,0.001690663,-0.0004363,1
2006,11,11Y2006,1,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,1
2002,16,16Y2002,2,10,8,5,6,1,0,0,0,-0.00593505,-0.016573348,-0.022508399,1
2002,20,20Y2002,2,8,7,6,5,1,0,2,2,-0.00593505,0.004703247,-0.001231803,1
2003,22,22Y2003,3,11,10,7,7,2,1,1,2,0.001459702,-0.002919404,-0.001459702,1
2004,22,22Y2004,3,16,9,3,3,3,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,22,22Y2005,4,16,13,8,8,4,0,2,2,-0.002126963,0.006926265,0.004799302,1
2004,23,23Y2004,4,19,17,4,0,3,1,1,2,0.001762632,0.001733255,0.003495887,1
2005,23,23Y2005,3,14,9,4,3,4,1,0,1,0.003108639,-0.003544939,-0.0004363,1
2006,23,23Y2006,4,15,11,5,6,5,1,1,2,0.005402231,0.003405755,0.008807986,1
2002,24,24Y2002,2,8,8,6,5,1,1,5,6,0.004703247,0.036618141,0.041321389,1
2003,24,24Y2003,2,10,10,8,8,2,1,7,8,0.001459702,0.040558857,0.042018559,1
2004,24,24Y2004,1,4,4,0,1,3,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2002,44,44Y2002,1,0,2,2,2,1,1,0,1,0.004703247,-0.016573348,-0.011870101,1
2003,44,44Y2003,3,12,4,3,3,2,1,2,3,0.001459702,0.004326973,0.005786675,1
2004,44,44Y2004,1,3,3,0,0,3,0,0,0,-0.00367215,-0.003701528,-0.007373678,1
2002,46,46Y2002,2,10,8,1,1,1,1,0,1,0.004703247,-0.016573348,-0.011870101,1
2003,46,46Y2003,3,10,12,3,7,2,1,0,1,0.001459702,-0.01016578,-0.008706079,1
2004,46,46Y2004,3,13,12,0,3,3,1,0,1,0.001762632,-0.003701528,-0.001938895,1
2005,46,46Y2005,3,12,7,4,4,4,1,0,1,0.003108639,-0.003544939,-0.0004363,1
2006,46,46Y2006,1,3,3,3,3,5,1,0,1,0.005402231,-0.004286553,0.001115678,1
2007,46,46Y2007,2,9,8,8,7,6,0,1,1,-0.002553626,0.008043922,0.005490296,1
2002,55,55Y2002,2,3,2,2,2,1,1,1,2,0.004703247,-0.00593505,-0.001231803,1
2002,104,104Y2002,1,5,4,4,4,1,1,2,3,0.004703247,0.004703247,0.009406495,1
2003,104,104Y2003,3,15,14,3,3,2,1,0,1,0.001459702,-0.01016578,-0.008706079,1
2002,110,110Y2002,1,5,5,2,0,1,1,3,4,0.004703247,0.015341545,0.020044793,1
2004,110,110Y2004,1,4,4,1,0,3,0,1,1,-0.00367215,0.001733255,-0.001938895,1
2002,114,114Y2002,2,8,7,3,4,1,1,3,4,0.004703247,0.015341545,0.020044793,1
2003,114,114Y2003,2,8,4,3,3,2,1,2,3,0.001459702,0.004326973,0.005786675,1
2004,114,114Y2004,2,6,6,6,5,3,1,1,2,0.001762632,0.001733255,0.003495887,1
2005,114,114Y2005,3,12,12,5,5,4,1,1,2,0.003108639,0.001690663,0.004799302,1
2006,114,114Y2006,2,9,7,6,4,5,0,1,1,-0.002290076,0.003405755,0.001115678,1
2002,115,115Y2002,2,8,4,0,0,1,1,0,1,0.004703247,-0.016573348,-0.011870101,1
2003,115,115Y2003,3,12,9,6,2,2,1,2,3,0.001459702,0.004326973,0.005786675,1
2004,115,115Y2004,3,14,10,4,4,3,1,1,2,0.001762632,0.001733255,0.003495887,1
