"femID","Female_total_EPO_clutches","BroodName","femaleCohort","SocialDadID","FWPO","FEPO","FTO","FPercentEP","F_EPP_brood","F_total_Brood_number","F_total_Partner_number","Number_Broods_with_Partner","F_Percent_clutch_EP","Sex","Age","Dam","maleCohort","BroodRef","maleID","EventDate","male_brood_WPO","male_brood_EPO","Male_Year_WPO","Male_Year_EPO","M_EPP_Year","M_EPP_brood"
28,0,"B003",2002,4325,2,0,2,0,0,4,4,4,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0,"B037",2002,4325,3,0,3,0,0,4,4,4,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0,"B065",2002,4325,3,0,3,0,0,4,4,4,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0,"C022",2003,4325,2,0,2,0,0,4,4,4,0,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,4,"B041",2002,104,3,2,5,0.4,1,7,7,1,0.571428571428571,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,4,"C009",2003,4229,3,1,4,0.25,1,7,7,5,0.571428571428571,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,4,"C074",2003,4229,1,0,1,0,0,7,7,5,0.571428571428571,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,4,"C129",2003,4229,4,0,4,0,0,7,7,5,0.571428571428571,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,4,"D027",2004,4229,5,0,5,0,0,7,7,5,0.571428571428571,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,4,"D123",2004,4229,4,1,5,0.2,1,7,7,5,0.571428571428571,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,4,"D212",2004,513,0,2,2,1,1,7,7,1,0.571428571428571,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,"B040",2002,4153,2,1,3,0.333333333333333,1,1,1,1,1,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0,"B024",2002,4403,3,0,3,0,0,3,3,3,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0,"B059",2002,4403,5,0,5,0,0,3,3,3,0,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0,"C027",2003,4403,3,0,3,0,0,3,3,3,0,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,3,"B016",2002,11,3,0,3,0,0,7,7,2,0.428571428571429,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,3,"B053",2002,11,3,2,5,0.4,1,7,7,2,0.428571428571429,"0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,3,"C043",2003,287,0,3,3,1,1,7,7,1,0.428571428571429,"0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,3,"D032",2004,517,5,0,5,0,0,7,7,4,0.428571428571429,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,3,"D085",2004,517,3,1,4,0.25,1,7,7,4,0.428571428571429,"0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
