"Dam","Cohort","BroodRef","BroodName","ID","EventDate","Month_Yr","male_brood_WPO","male_brood_EPO","Male_Year_WPO","Male_Year_EPO","Number_Broods_with_Partner","M_EPP_Year","M_EPP_brood","Sex","Age"
4497,2001,154,"A001",4470,2001-04-30,"2001-04",5,0,13,0,3,0,0,"1",NA
4443,2001,155,"A002",4435,2001-05-01,"2001-05",2,1,5,1,1,1,1,"1",NA
4447,2001,156,"A003",4403,2001-05-02,"2001-05",2,3,6,3,2,1,1,"1",NA
4496,2001,157,"A004",4467,2001-05-03,"2001-05",2,0,2,0,1,0,0,"1",NA
4495,2001,158,"A005",4429,2001-05-04,"2001-05",3,2,3,2,1,1,1,"1",NA
4494,2001,159,"A006",4418,2001-05-05,"2001-05",1,0,3,0,2,0,0,"1",NA
4489,2001,160,"A007",4275,2001-05-06,"2001-05",3,0,8,0,2,0,0,"1",NA
4290,2001,161,"A008",4412,2001-05-06,"2001-05",4,1,7,2,2,1,1,"1",NA
4500,2001,162,"A009",4499,2001-05-06,"2001-05",4,0,6,0,2,0,0,"1",NA
4437,2001,163,"A010",4415,2001-05-07,"2001-05",3,0,5,0,2,0,0,"1",NA
4438,2001,164,"A011",4432,2001-05-07,"2001-05",1,0,5,0,2,0,0,"1",NA
4436,2001,165,"A012",4230,2001-05-08,"2001-05",5,0,9,0,5,0,0,"1",NA
4177,2001,166,"A013",4153,2001-05-08,"2001-05",4,0,9,0,2,0,0,"1",NA
4498,2001,167,"A014",4409,2001-05-09,"2001-05",5,0,9,0,2,0,0,"1",NA
4178,2001,168,"A015",4265,2001-05-11,"2001-05",4,0,9,0,3,0,0,"1",NA
4434,2001,169,"A016",4229,2001-05-12,"2001-05",4,0,9,0,2,0,0,"1",NA
4408,2001,170,"A017",4417,2001-05-12,"2001-05",3,0,7,0,1,0,0,"1",NA
4333,2001,172,"A019",4274,2001-05-14,"2001-05",4,0,6,0,2,0,0,"1",NA
4291,2001,173,"A020",4158,2001-05-14,"2001-05",4,0,4,0,1,0,0,"1",NA
4246,2001,174,"A021",4406,2001-05-14,"2001-05",4,0,9,0,2,0,0,"1",NA
4465,2001,175,"A022",4410,2001-05-16,"2001-05",4,0,7,2,2,1,0,"1",NA
4277,2001,176,"A023",4247,2001-05-17,"2001-05",3,0,3,0,1,0,0,"1",NA
