Dam,SocialDadID,Sire,BroodName,Cohort,Nest_Location,EP,Loc_code
419,4503,4503,D204,2004,MR,0,NA
371,456,4304,D206,2004,LM,1,1
371,456,145,D206,2004,LM,1,1
309,4422,251,D207,2004,W,1,4
122,132,370,D208,2004,F,1,3
122,132,132,D208,2004,F,0,3
988,145,145,D209,2004,LM,0,1
988,145,285,D209,2004,LM,1,1
857,4247,4247,D210,2004,MR,0,NA
32,513,4229,D212,2004,MM,1,NA
32,513,4503,D212,2004,MM,1,NA
4497,4265,4265,D213,2004,W,0,4
960,650,650,D214,2004,W,0,4
955,591,591,D215,2004,LF,0,NA
985,818,818,E001,2005,LM,0,1
1069,1935,1935,E002,2005,LM,0,1
988,145,285,E003,2005,LM,1,1
988,145,145,E003,2005,LM,0,1
604,4304,4304,E005,2005,LM,0,1
604,4304,902,E005,2005,LM,1,1
892,4435,4435,E006,2005,W,0,4
892,4435,466,E006,2005,W,1,4
206,2018,2018,E012,2005,W,0,4
533,417,417,E013,2005,C,0,NA
533,417,965,E013,2005,C,1,NA
1718,1738,1738,E015,2005,LF,0,NA
1718,1738,818,E015,2005,LF,1,NA
560,4230,4230,E017,2005,LM,0,1
4424,4230,356,E018,2005,LM,1,1
4424,4230,4230,E018,2005,LM,0,1
649,460,460,E019,2005,LM,0,1
416,4418,4418,E020,2005,LM,0,1
604,4304,4304,E021,2005,LM,0,1
521,1038,1038,E022,2005,LM,0,1
471,661,661,E024,2005,LM,0,1
427,22,145,E025,2005,LM,1,1
427,22,22,E025,2005,LM,0,1
917,4463,457,E026,2005,LM,1,1
438,11,11,E027,2005,LM,0,1
342,421,421,E030,2005,LM,0,1
586,285,285,E031,2005,LM,0,1
524,2018,2018,E032,2005,W,0,4
4290,4275,4304,E033,2005,LM,1,1
4290,4275,4275,E033,2005,LM,0,1
442,457,457,E034,2005,LM,0,1
819,602,602,E035,2005,LM,0,1
431,356,356,E036,2005,LM,0,1
431,356,285,E036,2005,LM,1,1
309,993,993,E038,2005,W,0,4
353,725,725,E039,2005,MR,0,NA
353,725,114,E039,2005,MR,1,NA
985,409,1500,E040,2005,LM,1,1
985,409,409,E040,2005,LM,0,1
76,287,287,E041,2005,LM,0,1
988,145,145,E042,2005,LM,0,1
988,145,285,E042,2005,LM,1,1
960,650,650,E043,2005,W,0,4
4273,4153,4153,E044,2005,W,0,4
4273,4153,1930,E044,2005,W,1,4
4273,4153,251,E044,2005,W,1,4
540,1053,1053,E045,2005,W,0,4
646,500,500,E046,2005,MR,0,NA
646,500,1838,E046,2005,MR,1,NA
646,500,590,E046,2005,MR,1,NA
346,1956,1956,E047,2005,MM,0,NA
45,166,166,E048,2005,F,0,3
592,418,418,E049,2005,W,0,4
1589,393,393,E050,2005,W,0,4
