"ID","MOTHER","FATHER"
1,4497,4470
2,4497,4470
3,4497,4470
4,4497,4470
5,4497,4470
6,4443,4435
7,4443,4435
11,4447,4403
13,4447,4403
15,4496,4467
16,4496,4467
17,4497,4429
20,4495,4429
21,4495,4429
22,4495,4429
23,4495,4435
24,4494,4418
25,4494,4463
27,4494,4412
28,4489,4275
29,4489,4275
31,4489,4275
32,4290,4412
33,4290,4412
34,4290,4412
35,4290,4412
36,4497,4429
37,4500,4499
38,4500,4499
39,4500,4499
40,4500,4499
41,4437,4415
42,4437,4415
44,4437,4415
45,4438,4432
46,4438,4403
47,4438,4403
48,4438,4403
49,4436,4230
50,4436,4230
51,4436,4230
52,4436,4230
53,4436,4230
54,4177,4153
55,4177,4153
56,4177,4153
57,4177,4153
58,4498,4409
59,4498,4409
60,4498,4409
61,4498,4409
62,4498,4409
63,4178,4265
64,4178,4265
65,4178,4265
66,4178,4265
67,4434,4229
68,4434,4229
69,4434,4229
70,4434,4229
71,4408,4417
72,4408,4417
73,4408,4417
75,4137,4417
76,4333,4274
77,4333,4274
78,4333,4274
79,4333,4274
80,4291,4158
81,4291,4158
82,4291,4158
83,4291,4158
84,4246,4406
86,4246,4406
87,4246,4406
88,4246,4406
89,4465,4410
90,4465,4410
91,4465,4410
92,4465,4410
94,4277,4247
95,4277,4247
96,4277,4247
98,4134,4295
99,4134,4295
100,4134,4295
101,4255,4419
102,4255,4419
103,4255,4439
104,4255,4419
105,4255,4419
106,4252,4419
107,4255,4419
108,4468,4477
110,4468,4477
111,4468,4477
112,4497,4470
113,4497,4470
114,4497,4470
115,4497,4470
116,4497,4470
117,4157,4402
118,4157,4483
119,4157,4483
120,4157,4483
121,4217,4326
122,4217,4326
123,4217,4326
125,4217,4326
126,4405,4463
127,4405,4463
128,4405,4463
129,4447,4403
130,4447,4403
132,4447,4403
133,4447,4403
134,4137,4435
135,4137,4435
136,4137,4135
137,4137,4435
139,4437,4415
140,4437,4415
142,4310,4211
143,4443,4303
144,4443,4303
145,4189,4303
146,4443,4303
147,4290,4412
148,4290,4412
149,4290,4412
150,4438,4432
151,4438,4432
152,4438,4432
153,4438,4432
155,4494,4418
156,4494,4418
157,4494,4412
158,4494,4135
159,4500,4499
160,4500,4499
161,4177,4153
162,4177,4153
163,4177,4153
164,4177,4153
165,4177,4153
166,4436,4230
167,4436,4230
168,4436,4230
169,4436,4230
170,4489,4275
171,4489,4275
172,4489,4275
173,4489,4275
174,4489,4275
175,4468,4417
176,4468,4417
177,4468,4417
178,4468,4417
179,4434,4229
180,4434,4229
181,4434,4229
182,4434,4229
183,4434,4229
184,4246,4406
185,4246,4406
186,4246,4406
187,4246,4406
188,4246,4406
189,4134,4295
190,4134,4295
191,4134,4295
192,4134,4295
194,4498,4409
195,4498,4409
196,4498,4409
197,4498,4409
198,4291,4410
199,4291,4410
202,4440,4304
203,4440,4304
204,4440,4304
205,4440,4304
206,4497,4470
207,4497,4470
208,4497,4470
211,4465,4410
212,4465,4410
213,4465,4410
215,4277,4402
216,4277,4450
217,4277,4450
218,4255,4439
219,4255,4439
221,4255,4439
222,4178,4265
223,4178,4265
225,4178,4265
231,4178,4264
232,4178,4265
233,4178,4265
235,4333,4274
236,4333,4274
249,4442,4413
250,4285,4480
251,4273,4135
722,4497,4282
723,4177,4467
724,4447,4477
4382,4500,4418
4421,4178,4477
4422,4273,4429
4423,4290,4275
4424,4465,4229
4427,4213,4412
253,4436,4230
254,4436,4230
255,4436,4230
256,4436,4230
257,4436,4230
258,4277,4247
259,4277,4247
260,4277,4247
262,28,4325
263,28,4325
266,4213,35
267,4213,35
268,4213,35
269,4504,4464
272,4246,115
276,4376,4247
278,4376,4478
279,4376,4478
281,60,4295
282,60,4419
284,4468,20
285,4468,20
286,4291,4417
287,4291,4417
288,4291,71
289,206,4429
290,206,126
291,206,126
292,4420,114
293,4420,114
294,4420,114
296,123,4303
297,123,4303
298,123,4303
299,123,4303
300,108,4153
301,108,4153
302,108,4153
304,170,4463
305,170,4418
306,170,4463
307,170,4463
308,170,4418
309,41,11
311,41,11
312,41,11
314,4497,4282
315,4497,4282
318,4497,4282
319,4495,4265
320,4495,4265
321,4495,4265
322,4495,4282
323,4495,4265
324,4501,4418
325,4501,4418
327,4501,4275
328,4333,129
329,4333,129
330,4333,129
331,4333,129
332,4333,129
333,4465,16
334,4465,4229
335,4465,16
336,4465,16
337,4465,16
