Aviary,Female.cc,Female.ID,Female.age,Extra.pair.copulation,Copulation.total,EPC.percent,Solicited.percent,EPC.total,Solicited.total,Solicited 
A,NA,NA,NA,NA,0,NA,0,0,0,0
A,NA,NA,NA,NA,3,NA,0,3,0,0
A,mv/vv,302,5,1,1,1,0,1,0,0
A,mb/yy,653,1,0,4,0,0,0,0,0
A,mg/xw,307,5,0,2,0,1,0,2,1
A,ml/lb,660,1,1,5,0.6,0,3,0,0
A,ms/ss,359,3,0,4,0,0,0,0,0
A,my/nn,494,8,NA,NA,0,NA,0,0,0
A,hm/hh,369,3,1,6,0.333333333,0.5,2,3,1
A,my/cy,366,3,1,15,0.142857143,0,2,0,0
A,gr/mr,590,3,NA,NA,0.142857143,0,0,0,0
A,gm/gg,299,5,0,3,0,0,0,0,0
A,mp/po,658,1,1,8,0.375,0,3,0,0
A,NA,NA,NA,NA,0,NA,0,0,0,0
A,NA,NA,NA,NA,1,NA,0,1,0,0
A,NA,NA,NA,NA,0,NA,NA,0,0,0
A,bm/bb,482,8,0,6,0,0,0,0,0
A,mn/on,622,9,1,9,0.111111111,0,1,0,0
A,mo/oo,296,5,1,3,0.333333333,1,1,3,1
A,mk/kk,488,8,1,8,0.375,0,3,0,0
A,mp/xy,650,1,0,4,0,0.5,0,2,1
A,mr/rr,952,8,0,8,0,0.5,0,4,1
A,mh/cn,656,1,1,4,0.25,0.25,1,1,1
B,mc/cn,324,3,1,4,0.333333333,0,1,0,0
B,NA,NA,NA,NA,0,NA,NA,0,0,0
B,me/ee,174,9,1,28,0.035714286,0,1,0,0
B,wm/ww,419,8,1,5,0.25,0,1,0,0
B,mk/yk,611,1,1,9,0.444444444,0,4,0,0
B,mr/rr,322,3,1,15,0.142857143,0,2,0,0
B,mr/rr,322,3,1,6,0.166666667,0,1,0,0
B,mc/lc,605,1,1,1,NA,0,1,0,0
B,ml/xx,618,1,1,5,0.2,0,1,0,0
B,my/yy,264,5,1,6,0.166666667,0.5,1,3,1
B,NA,NA,NA,NA,4,NA,0.5,4,2,1
B,mw/wp,263,5,1,0,NA,NA,0,0,0
B,NA,NA,NA,NA,8,NA,0,8,0,0
B,pm/pp,414,8,1,3,0.666666667,0,2,0,0
B,mx/gg,602,1,1,1,NA,0,1,0,0
B,mp/yp,608,1,1,2,0.5,0,1,0,0
B,mx/ow,252,5,1,10,0.2,0.4,2,4,1
B,mb/bb,489,8,0,6,0,0,0,0,0
B,mw/wp,263,5,0,1,0,0,0,0,0
B,mg/cc,260,5,0,3,0,0,0,0,0
B,bm/lb,604,1,1,6,0.833333333,0,5,0,0
C,NA,NA,NA,NA,2,NA,0.5,2,1,1
C,mo/oo,452,8,0,3,0,0,0,0,0
C,bm/bb,294,5,NA,NA,0,NA,0,0,0
C,mp/xy,647,1,0,2,0,0.5,0,1,1
C,mk/kk,232,9,1,16,0.0625,0,1,0,0
C,ms/ss,357,3,1,3,1,0,3,0,0
C,mx/pg,640,1,1,9,0.111111111,0,1,0,0
C,mp/xy,647,1,1,7,0.333333333,0,2,0,0
C,gm/gg,290,5,0,9,0,0,0,0,0
C,NA,NA,NA,NA,0,NA,0,0,0,0
C,mw/ww,661,8,1,4,0.25,0.5,1,2,1
C,my/ye,645,1,NA,NA,0.25,NA,0,0,0
C,mr/rr,342,3,0,6,0,1,0,6,1
C,xx/xm,593,1,1,4,0.25,0,1,0,0
C,NA,NA,NA,NA,1,NA,0,1,0,0
C,bm/bb,294,5,1,2,0.5,0.5,1,1,1
C,mn/nn,683,1,1,5,0.4,0,2,0,0
C,mc/cc,493,8,1,13,0.153846154,0,2,0,0
C,nm/yn,346,3,1,4,0.75,0.5,3,2,1
C,m/yy,470,8,1,0,NA,NA,0,0,0
C,em/wg,639,1,1,11,0.272727273,0,3,0,0
C,mv/vv,293,5,1,2,0.5,0,1,0,0
C,mp/on,295,5,1,4,0.666666667,0.5,3,2,1
C,mb/no,163,10,1,9,0.333333333,0,3,0,0
C,mh/hx,637,1,0,4,0,0,0,0,0
D,rm/rr,8,8,1,6,0.5,0,3,0,0
D,NA,NA,NA,NA,2,NA,0,2,0,0
D,mw/ww,451,8,1,0,NA,NA,0,0,0
D,mb/bb,272,5,1,10,0.1,0.7,1,7,1
D,ml/hh,630,1,0,6,0,0,0,0,0
D,mv/vv,625,1,1,6,0.333333333,0,2,0,0
D,ee/m,953,8,1,7,0.166666667,0,1,0,0
D,my/ss,633,1,1,7,0.428571429,0,3,0,0
D,mx/xx,333,3,0,4,0,0,0,0,0
D,ml/ll,277,5,0,4,0,0.5,0,2,1
D,mo/oo,328,3,0,2,0,0,0,0,0
D,mc/cc,266,5,1,11,0.090909091,0,1,0,0
D,mv/vv,625,1,1,2,0.5,0.5,1,1,1
D,mk/kk,490,8,1,9,0.25,0,2,0,0
D,mn/yn,619,1,1,8,0.125,0,1,0,0
D,NA,NA,NA,NA,0,NA,NA,0,0,0
D,mb/er,629,1,1,5,0.2,0.25,1,1,1
D,mr/rr,280,5,1,9,0.125,0,1,0,0
D,ee/om,398,2,1,6,0.5,0,3,0,0
D,bg/ms,594,2,1,4,0.25,0.75,1,3,1
D,mo/og,222,9,0,15,0,0,0,0,0
